,value,user_attrs_actual_reward,user_attrs_q_error,user_attrs_r_hat,user_attrs_ess
1,0.08643439998851575,0.0903235831372107,0.00047980849920697217,0.08595459148930878,130.98783972799174
2,0.0863708383547337,0.09059212927397044,0.000116255820363172,0.08625458253437053,369.88272717931505
4,0.08124698789604563,0.0865732434136296,2.1864363154130966e-05,0.0812251235328915,9936.747713510284
5,0.0814375342678668,0.08672872412203163,2.636373615189375e-05,0.08141117053171491,9642.142714780128
6,0.0854080476520613,0.08878959436099042,0.00010097856915504378,0.08530706908290625,1306.6801907827314
7,0.08563732643466394,0.08887954946159898,7.639052026608143e-05,0.08556093591439787,1179.4820028336662
9,0.08122075418345319,0.08652800080350016,2.660951121198996e-05,0.0811941446722412,9983.69821004239
11,0.08529537987607443,0.08823956648861672,8.628775297788224e-05,0.08520909212309655,1560.1610158631179
12,0.08661326726962318,0.09006190936026418,0.00011426571331086028,0.08649900155631232,415.3323501183852
15,0.0849411498278545,0.08896600541804082,8.994378832930876e-05,0.08485120603952519,880.2849340710341
18,0.08383920397061893,0.0877592380388952,4.809714137774129e-05,0.0837911068292412,3968.4808749247754
19,0.08494003739474162,0.08816523317906226,7.200168641795678e-05,0.08486803570832367,2560.2537117970205
20,0.08560151317799912,0.0887982515662328,3.853409951380714e-05,0.08556297907848531,1491.7640898719649
21,0.08782801629013674,0.09078600010742556,0.00012294826359852105,0.08770506802653823,328.60531490838036
22,0.08637091182327922,0.08892325099491126,0.00012404333609297634,0.08624686848718624,1195.6406613375898
23,0.08892577413480392,0.09071310993187447,0.00027089036529821976,0.0886548837695057,152.33469089184416
24,0.08681691988421152,0.08903824678158233,0.0002063289922537125,0.0866105908919578,150.3628002372699
26,0.08881232312282214,0.08780717359591933,0.0001851981556508954,0.08862712496717125,114.67335414579821
30,0.08623675747123259,0.09000428733285709,0.0001011293249549318,0.08613562814627766,562.2990818653632
31,0.08835935450989679,0.0900342416669885,0.00039440222229488814,0.0879649522876019,145.3364923382679
32,0.0875735649487342,0.08949259959820037,0.0002404092876217955,0.0873331556611124,160.28963564148668
33,0.08351464093431309,0.08001697959873229,0.0001735946806105501,0.08334104625370253,139.6980910528191
34,0.08825257788242792,0.09082974405515419,0.0003019343654140728,0.08795064351701384,208.14027221072445
36,0.08733460817132356,0.0913266845679521,0.0001723755108900272,0.08716223266043353,280.78256945716674
37,0.083406049048548,0.08742664798297786,4.3584210147201725e-05,0.08336246483840079,5178.542286976339
38,0.08573529501779699,0.08989904007008703,0.00010177923431846203,0.08563351578347853,578.8362334288689
39,0.08996203583051003,0.08828844602889044,0.00027916608331661675,0.08968286974719342,137.92486749620554
41,0.08908605210762739,0.09026960465161453,0.00022467665780071203,0.08886137544982668,161.24246519512548
42,0.08780255742871809,0.09136512878327102,4.6629949040029496e-05,0.08775592747967806,188.492066750333
43,0.08713900257149393,0.08327715240566694,0.00039047265517534193,0.08674852991631858,119.57351081132673
44,0.08120509276715521,0.08650404365943923,2.223673992782011e-05,0.08118285602722738,9994.703033752721
46,0.08657307432975395,0.08610235214765513,0.0004693913494270387,0.0861036829803269,136.73568039566652
47,0.0868978522864924,0.09163923652927763,0.00019514518391965409,0.08670270710257275,193.06712463634116
48,0.0886093446637203,0.09142786426165847,0.00020426131239230795,0.08840508335132799,228.35148478834057
52,0.08782159187620163,0.09164354535904798,0.0001425643619919902,0.08767902751420964,239.18119217194177
54,0.08844761426458203,0.09017297635135275,0.00028148989438481686,0.08816612437019722,145.25297829129306
58,0.08857500716617331,0.09046850091093031,0.00020617253454042296,0.08836883463163289,153.25124939545202
60,0.08228673849639546,0.08713409396118556,2.6222007877288977e-05,0.08226051648851818,7707.838926203897
61,0.08947354254998569,0.09210048148124102,0.0003149384299624958,0.08915860412002319,176.9080708501381
62,0.08835447429071269,0.08798518917539665,0.0003488625050332261,0.08800561178567946,124.6030280059492
63,0.08844739400495795,0.08984747348615997,0.00019364834055111537,0.08825374566440683,160.03498003742004
65,0.08690991029627974,0.09020030685430276,0.00014872693303077784,0.08676118336324896,439.5627062943269
66,0.08814006657492636,0.08912882625054301,0.0003310607659585365,0.08780900580896782,189.73869618112371
67,0.09033831310530224,0.09034543621975236,0.00029142906412345996,0.09004688404117878,149.490461640364
70,0.08797635898455741,0.09184059239294276,0.00011993841260882828,0.08785642057194859,254.50972113215246
72,0.08898097781818193,0.09176105187746808,0.00039487481373394234,0.08858610300444798,202.03972180752973
73,0.08563800203346089,0.08954381134339039,8.273608198981255e-05,0.08555526595147107,602.2113725244586
74,0.08892200446236206,0.09204913379454885,0.00024111258406422806,0.08868089187829784,212.9278785248779
75,0.08745473135649469,0.09099020535258094,0.00011847700659412753,0.08733625434990056,225.684814169256
76,0.0884172536470807,0.0879855851884765,0.00020914694287701554,0.08820810670420368,119.98383165630742
77,0.08894548892349612,0.08862466377939177,0.00041303176268278244,0.08853245716081333,119.9974959115738
79,0.08325736343019671,0.08753486188325252,3.394041620321021e-05,0.0832234230139935,5490.773120901704
80,0.08896993649913686,0.09156898313927254,0.00034110947771327706,0.08862882702142358,165.44679146711567
82,0.0912844159527855,0.0854000996148473,0.0005550774146324797,0.09072933853815301,106.32117336857715
83,0.08705689000632977,0.08656342776788414,0.00047878738244871343,0.08657810262388105,140.90854766623917
84,0.08823361992773736,0.0917152592760633,0.00019950792539519358,0.08803411200234217,249.50876343444048
85,0.08213709260417994,0.08707771774260219,2.954168057800524e-05,0.08210755092360193,8138.084801933632
89,0.0902327479206854,0.08807981565936886,0.0003023650625598388,0.08993038285812556,148.8660091155262
92,0.08999163494667488,0.08883604782050365,0.00018510678879573832,0.08980652815787914,142.42662826212327
95,0.08747694642322364,0.08933631350623066,0.0003305587319610562,0.08714638769126258,163.24246159385572
96,0.08810161802004587,0.09132779082750864,0.00022880759101173243,0.08787281042903414,207.14983898491673
98,0.09225462109988446,0.08473254634227942,0.0005773232166866812,0.09167729788319777,113.17142132615609
100,0.08859897959659956,0.08773570856508477,0.0002672028024794794,0.08833177679412008,140.0791660048446
101,0.09058104652558154,0.09008280514973063,0.00014910809344588166,0.09043193843213565,126.86180334906537
103,0.08768034530033858,0.0860093418460235,0.00039750347596894195,0.08728284182436964,110.37100797694421
104,0.08717794150081935,0.09103932562145912,0.0002426523581559332,0.08693528914266342,242.3054364318356
105,0.0874107121221519,0.09097332777178671,0.00024034829107611326,0.08717036383107579,243.30896792577838
107,0.08676926853986432,0.08182840663711868,0.0002577430848018986,0.08651152545506242,138.73957786192793
110,0.08741123748647626,0.08629481571690976,0.00047128137207440524,0.08693995611440186,143.78612068133623
111,0.08630576798697952,0.09132192848298068,0.0004315878928089122,0.08587418009417061,133.68504410531241
113,0.08844909797291192,0.0879847237715428,0.00030231072201677327,0.08814678725089514,132.80144436379703
114,0.08516212077154701,0.08866933988317806,8.838117798024594e-05,0.08507373959356677,1553.4711460890064
115,0.08827839439069614,0.09211066158468449,0.0002523928890930213,0.08802600150160311,194.29909036222804
116,0.08801412951032678,0.09012096969045484,0.0003789921197270147,0.08763513739059976,194.55926445763507
117,0.09039833067375712,0.08951460174858221,0.0004122890768914191,0.0899860415968657,174.01383730978628
118,0.08821660304773629,0.0917627195534861,0.00031521927626026444,0.08790138377147602,234.2118837444648
119,0.08822027611610571,0.08859727371371465,0.0002008176789423248,0.08801945843716338,146.38160390930378
121,0.08983264299374508,0.09015028065688864,0.00040492688002409565,0.08942771611372098,178.5870511775202
122,0.08945753798597769,0.0909301750938005,0.00036928491194965484,0.08908825307402804,165.7366723279937
123,0.08842503577975006,0.09203616873436474,0.00022369501749078892,0.08820134076225927,253.8296987041155
124,0.08743426933672196,0.09059644412666232,9.883468268658402e-05,0.08733543465403538,388.00542220687964
125,0.08971173438614534,0.09192356691519982,0.00031258734258852924,0.08939914704355681,223.0539708338405
127,0.08824957271865483,0.09157796588543218,0.00020615620559513554,0.08804341651305969,241.94584388381324
128,0.09049414309992591,0.09038824616363195,0.0003074539294312834,0.09018668917049463,150.8297381414912
130,0.087398019743241,0.0915907364281004,0.00020483032589857194,0.08719318941734243,273.5230170458137
133,0.08901387053308085,0.0910513501417031,0.00034767192577773374,0.08866619860730311,204.271474799955
135,0.08126673928837759,0.0865768938650154,2.3608285713302702e-05,0.08124313100266428,9940.3250776412
136,0.08830365387166494,0.0896711601230873,0.0003619909674903307,0.08794166290417461,143.90789316734933
139,0.08879827863206806,0.09152213696476094,0.00033244173563218055,0.08846583689643588,218.51189151593536
141,0.08822826362017529,0.09151207295397965,0.00017905487918856375,0.08804920874098672,268.07937565107403
142,0.08949962647931153,0.09126196096095664,0.00027462926539358875,0.08922499721391794,202.13065690805524
144,0.08542706339942577,0.0884811420236736,4.93323052481473e-05,0.08537773109417762,1706.477329177006
